gender,age,race/ethnicity,parental level of education,ParentMaritalStatus,PracticeSport,lunch,school mark,school_type,test preparation course,Stress,daily studing time,prefer to study in,Financial Status,social_support,extracurricular_activities,teacher_student_relationship,anxiety_level,self_esteem,depression,noise_level,safety,basic_needs,week_absences,internet,daily_freetime,Sleep_Hours,Adaptivity Level,Additional work,Transportation to the school,Taking notes in classes,Listening in classes,teaching_method,school_setting,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Structuring of the course,score,decision
male,21,group B,high school,widowed,regularly,standard,2,Public,none,No,4,Night,Fabulous,No,No,No,Moderate,No,Moderate,High,Yes,No,6,Yes,High,7,Low,No,Yes,never,Law,Standard,Urban,Moderate,Moderate,Law,Moderate,68,PASS
female,21,group D,'associate''s degree',single,regularly,standard,2,Public,none,Moderate,2,Morning,Bad,Moderate,No,Moderate,No,No,Moderate,High,Yes,High,2,Yes,Moderate,5,Low,Yes,No,sometimes,Law,Standard,Urban,High,Moderate,Law,Moderate,84,PASS
male,23,group D,'associate''s degree',single,regularly,free/reduced,5,Public,none,Moderate,3,Morning,Bad,No,No,Moderate,High,High,No,High,Yes,Moderate,4,No,Moderate,4,Low,No,No,never,High,Standard,Urban,High,Law,Law,Moderate,47,FAIL
female,24,group A,some college,married,regularly,standard,5,Public,none,Moderate,3,Night,Bad,No,Yes,Moderate,No,No,No,Moderate,Yes,High,5,Yes,High,6,Low,No,Yes,regulary,High,Standard,Urban,Law,High,Moderate,Moderate,74,PASS
female,21,group A,'associate''s degree',married,never,standard,3,Public,completed,No,5,Anytime,Good,Moderate,Yes,No,High,High,No,High,Yes,Moderate,3,Yes,Moderate,7,Low,Yes,Yes,regulary,High,Standard,Urban,Moderate,Law,Moderate,Moderate,99,PASS
female,23,group D,some college,divorced,regularly,free/reduced,4,Public,none,Moderate,2,Night,Fabulous,No,Yes,Moderate,No,No,No,High,No,Moderate,8,Yes,High,5,High,No,No,regulary,High,Standard,Urban,High,Moderate,High,Moderate,49,FAIL
male,20,group C,high school,single,never,standard,4,Public,completed,No,3,Anytime,Bad,No,No,No,No,High,Moderate,High,Yes,Moderate,6,No,Moderate,6,Moderate,No,Yes,regulary,Law,Standard,Urban,High,Law,Moderate,Moderate,76,PASS
female,21,group C,high school,married,regularly,standard,4,Public,completed,Moderate,5,Anytime,Bad,Moderate,No,Moderate,No,No,No,High,No,No,6,No,Moderate,6,Low,Yes,No,sometimes,High,Standard,Urban,Law,Moderate,Law,Moderate,82,PASS
male,21,group D,high school,married,regularly,standard,1,Public,completed,Moderate,2,Morning,Awful,No,Yes,Moderate,No,Moderate,No,No,No,High,8,No,No,6,Moderate,Yes,No,never,Law,Standard,Urban,Law,Law,Moderate,Law,61,PASS
female,24,group A,some college,widowed,sometimes,standard,5,Public,none,Moderate,3,Night,Fabulous,Moderate,Yes,High,No,Moderate,Moderate,Moderate,Yes,High,2,Yes,No,5,Low,No,No,regulary,High,Standard,Urban,High,Moderate,Law,Moderate,76,PASS
female,21,group C,some college,divorced,regularly,standard,3,Public,none,No,4,Night,Fabulous,Moderate,No,No,Moderate,Moderate,No,High,No,Moderate,1,No,No,5,Low,No,Yes,never,Law,Standard,Urban,Moderate,High,Law,Law,67,PASS
male,22,group C,high school,single,regularly,standard,3,Public,completed,High,4,Morning,Bad,Moderate,Yes,No,Moderate,Moderate,High,High,Yes,Moderate,8,No,Moderate,5,Moderate,No,No,regulary,Law,Standard,Urban,Law,Law,Law,High,65,PASS
male,18,group D,'associate''s degree',married,regularly,standard,5,Public,none,High,4,Anytime,Fabulous,Moderate,Yes,No,Moderate,Moderate,Moderate,High,Yes,No,2,Yes,No,7,Moderate,No,No,sometimes,High,Standard,Urban,Moderate,Law,Law,Law,58,FAIL
female,23,group D,'associate''s degree',single,regularly,free/reduced,1,Public,none,No,5,Anytime,Fabulous,No,Yes,Moderate,High,High,No,Moderate,Yes,High,6,No,No,4,Moderate,No,No,regulary,Law,Standard,Urban,High,Law,High,Moderate,60,PASS
female,21,group C,some high school,married,sometimes,free/reduced,5,Public,completed,No,4,Night,Fabulous,Moderate,Yes,No,No,Moderate,No,Moderate,Yes,High,2,No,No,7,Moderate,No,No,never,Law,Standard,Urban,Moderate,Law,Law,High,68,PASS
male,23,group C,some high school,married,never,free/reduced,1,Public,none,Moderate,5,Night,Fabulous,No,Yes,No,Moderate,High,No,Moderate,Yes,No,5,Yes,High,5,Moderate,No,No,sometimes,Law,Standard,Urban,Moderate,Moderate,Moderate,Moderate,28,FAIL
female,19,group A,some college,single,sometimes,free/reduced,3,Public,completed,No,5,Night,Bad,High,Yes,No,No,No,High,High,Yes,Moderate,1,Yes,High,6,Low,Yes,No,regulary,High,Standard,Urban,High,Law,Law,High,43,FAIL
male,18,group D,'bachelor''s degree',single,sometimes,free/reduced,2,Public,completed,No,3,Night,Good,Moderate,Yes,Moderate,Moderate,No,Moderate,High,No,High,4,No,Moderate,4,Moderate,Yes,No,sometimes,Law,Standard,Urban,High,Moderate,Law,Moderate,65,PASS
male,23,group C,high school,married,regularly,standard,4,Public,none,No,5,Night,Fabulous,High,No,Moderate,No,No,No,Moderate,No,No,2,Yes,High,4,High,Yes,Yes,regulary,High,Standard,Urban,Law,Moderate,High,Moderate,87,PASS
male,22,group C,'associate''s degree',widowed,never,standard,2,Public,completed,No,5,Anytime,Awful,No,Yes,High,High,No,Moderate,Moderate,Yes,Moderate,3,Yes,Moderate,4,Moderate,No,No,sometimes,High,Standard,Urban,Moderate,Law,Law,Moderate,69,PASS
female,20,group D,'master''s degree',single,sometimes,standard,4,Public,none,No,4,Morning,Good,No,No,High,No,Moderate,No,High,Yes,High,3,Yes,No,5,Moderate,Yes,Yes,regulary,High,Standard,Urban,High,Moderate,Moderate,High,86,PASS
female,18,group E,'associate''s degree',married,sometimes,standard,5,Public,none,Moderate,3,Night,Good,Moderate,Yes,No,High,Moderate,No,No,No,No,1,No,No,4,Moderate,Yes,Yes,regulary,Law,Standard,Urban,High,Law,High,High,83,PASS
male,23,group B,some college,single,regularly,standard,1,Public,none,No,2,Night,Bad,No,No,Moderate,Moderate,No,No,Moderate,Yes,High,1,No,Moderate,5,High,No,No,regulary,High,Standard,Urban,Law,High,High,Moderate,90,PASS
female,18,group C,high school,divorced,sometimes,free/reduced,2,Public,none,No,3,Morning,Bad,Moderate,Yes,High,No,No,Moderate,High,Yes,High,4,Yes,Moderate,6,Moderate,Yes,Yes,sometimes,Law,Standard,Urban,High,Moderate,High,Law,46,FAIL
female,18,group D,some college,married,never,free/reduced,5,Public,none,No,3,Anytime,Bad,No,No,No,No,Moderate,High,No,Yes,Moderate,5,Yes,High,7,Low,No,No,never,High,Standard,Urban,Law,High,High,High,79,PASS
female,24,group D,'bachelor''s degree',married,regularly,free/reduced,2,Public,none,No,5,Night,Good,No,Yes,High,No,High,High,High,No,Moderate,1,Yes,High,4,Moderate,No,No,regulary,Law,Standard,Urban,High,Moderate,Law,Moderate,61,PASS
female,18,group D,'associate''s degree',married,sometimes,free/reduced,4,Public,completed,No,3,Anytime,Good,High,Yes,High,No,No,High,Moderate,Yes,High,4,No,Moderate,7,Moderate,No,Yes,never,Law,Standard,Urban,High,High,High,High,70,PASS
female,21,group D,high school,divorced,sometimes,free/reduced,5,Public,none,No,4,Night,Awful,No,Yes,No,No,No,High,High,No,High,4,Yes,Moderate,7,Low,Yes,Yes,regulary,Law,Standard,Urban,Moderate,Law,High,High,67,PASS
female,19,group E,high school,single,sometimes,standard,1,Public,completed,Moderate,5,Night,Good,Moderate,No,Moderate,High,Moderate,High,Moderate,Yes,High,6,No,No,4,Moderate,No,Yes,never,High,Standard,Urban,Moderate,Law,High,Law,86,PASS
female,22,group C,some college,married,sometimes,standard,5,Public,none,No,2,Anytime,Good,No,Yes,Moderate,No,No,Moderate,High,Yes,High,0,Yes,High,5,Moderate,No,No,sometimes,High,Experimental,Urban,High,Law,Law,High,59,FAIL
male,23,group B,'master''s degree',married,regularly,standard,5,Public,none,High,3,Night,Bad,No,Yes,High,Moderate,Moderate,No,High,Yes,Moderate,5,Yes,Moderate,4,Moderate,No,Yes,regulary,High,Experimental,Urban,High,Moderate,Moderate,Law,74,PASS
female,21,group C,some college,married,sometimes,free/reduced,3,Public,none,No,2,Night,Fabulous,Moderate,Yes,No,No,Moderate,Moderate,Moderate,Yes,High,4,Yes,No,4,Moderate,Yes,Yes,sometimes,Law,Experimental,Urban,Law,Moderate,Moderate,Law,51,FAIL
female,19,group D,some high school,married,sometimes,standard,4,Public,none,Moderate,4,Night,Bad,Moderate,Yes,No,No,No,Moderate,Moderate,Yes,High,3,No,High,6,Moderate,No,Yes,sometimes,High,Experimental,Urban,Law,Law,Moderate,High,77,PASS
female,18,group B,high school,single,regularly,free/reduced,2,Public,none,Moderate,3,Night,Fabulous,High,Yes,No,No,High,No,Moderate,Yes,High,7,Yes,No,5,Low,No,No,regulary,High,Experimental,Urban,Moderate,Law,High,Law,48,FAIL
female,22,group B,some college,widowed,sometimes,standard,5,Public,none,Moderate,2,Morning,Fabulous,Moderate,Yes,No,High,Moderate,No,High,Yes,High,8,No,Moderate,7,Moderate,Yes,Yes,regulary,High,Experimental,Urban,High,Law,High,Moderate,62,PASS
male,20,group B,some high school,married,never,standard,5,Public,none,Moderate,5,Anytime,Good,No,Yes,High,No,Moderate,Moderate,High,Yes,Moderate,2,Yes,No,4,Moderate,No,Yes,sometimes,High,Experimental,Urban,Moderate,High,Moderate,Moderate,71,PASS
male,24,group C,'bachelor''s degree',single,sometimes,standard,1,Public,completed,Moderate,4,Night,Fabulous,No,No,No,High,No,High,Moderate,Yes,High,1,Yes,Moderate,4,Moderate,Yes,Yes,never,Law,Experimental,Urban,Law,Moderate,Moderate,Law,81,PASS
male,24,group C,some college,widowed,sometimes,free/reduced,5,Public,none,Moderate,5,Night,Bad,Moderate,Yes,No,High,No,Moderate,Moderate,Yes,High,8,Yes,High,7,Low,No,Yes,sometimes,Law,Experimental,Urban,High,Moderate,High,High,57,FAIL
male,23,group C,high school,married,regularly,standard,1,Public,none,No,2,Anytime,Fabulous,Moderate,No,High,No,High,No,High,No,Moderate,6,No,Moderate,7,Moderate,Yes,No,never,High,Experimental,Urban,Moderate,Law,High,Law,65,PASS
male,23,group D,'associate''s degree',married,regularly,standard,3,Public,completed,No,4,Morning,Good,No,Yes,Moderate,High,No,High,Moderate,Yes,High,3,Yes,Moderate,5,Low,No,No,never,Law,Experimental,Urban,High,Law,High,Moderate,65,PASS
male,23,group B,'associate''s degree',single,regularly,free/reduced,5,Public,none,No,4,Morning,Fabulous,Moderate,No,No,No,High,Moderate,Moderate,Yes,High,6,Yes,Moderate,4,Low,Yes,No,regulary,Law,Experimental,Urban,Law,Law,Moderate,Law,70,PASS
female,19,group C,some high school,single,sometimes,free/reduced,4,Public,none,Moderate,3,Anytime,Bad,Moderate,Yes,Moderate,No,No,Moderate,High,Yes,Moderate,6,Yes,Moderate,6,Low,No,Yes,never,High,Experimental,Urban,High,Law,High,Moderate,20,FAIL
female,18,group D,high school,married,sometimes,free/reduced,3,Public,completed,No,2,Night,Fabulous,Moderate,Yes,Moderate,Moderate,Moderate,No,High,Yes,Moderate,0,Yes,No,5,Moderate,No,No,regulary,High,Experimental,Urban,Law,Law,Law,High,61,PASS
male,19,group D,high school,married,regularly,free/reduced,5,Public,none,High,5,Morning,Bad,No,No,No,No,No,High,Moderate,Yes,High,6,Yes,No,4,Low,No,Yes,never,Law,Experimental,Urban,Law,Law,High,Law,63,PASS
female,21,group C,some high school,married,regularly,free/reduced,5,Public,none,No,4,Anytime,Bad,Moderate,No,Moderate,Moderate,Moderate,Moderate,High,Yes,Moderate,7,Yes,High,4,Moderate,Yes,No,regulary,High,Experimental,Urban,Law,Law,Law,Moderate,79,PASS
male,21,group C,'associate''s degree',single,sometimes,standard,4,Public,none,No,3,Night,Fabulous,No,Yes,Moderate,Moderate,Moderate,Moderate,High,No,Moderate,2,No,High,5,Low,No,Yes,regulary,High,Experimental,Urban,High,High,Moderate,Law,47,FAIL
male,23,group A,some college,single,sometimes,standard,5,Public,completed,No,4,Night,Fabulous,No,No,No,Moderate,No,Moderate,Moderate,No,No,5,Yes,Moderate,7,Low,Yes,Yes,regulary,High,Experimental,Urban,Law,Moderate,Law,Moderate,79,PASS
female,21,group C,'associate''s degree',widowed,regularly,standard,3,Public,none,No,5,Anytime,Good,High,No,No,No,Moderate,Moderate,High,Yes,High,6,Yes,High,6,Moderate,No,No,sometimes,Law,Experimental,Urban,High,High,High,Moderate,46,FAIL
female,24,group D,high school,married,sometimes,free/reduced,2,Public,none,No,4,Anytime,Good,Moderate,No,No,No,Moderate,Moderate,Moderate,Yes,High,5,No,No,6,Moderate,No,No,sometimes,Law,Experimental,Urban,Law,Moderate,Moderate,Moderate,49,FAIL
female,21,group D,'master''s degree',married,sometimes,standard,4,Public,none,Moderate,3,Anytime,Fabulous,No,Yes,No,High,High,Moderate,Moderate,Yes,High,1,No,Moderate,6,Moderate,Yes,Yes,regulary,High,Experimental,Urban,High,Law,Law,High,83,PASS
male,21,group C,high school,married,regularly,standard,5,Public,none,High,4,Morning,Bad,Moderate,No,No,High,No,Moderate,High,Yes,Moderate,0,No,Moderate,4,Moderate,No,No,never,High,Experimental,Urban,Moderate,Law,High,Law,47,FAIL
male,19,group D,some high school,divorced,regularly,standard,3,Public,completed,Moderate,3,Morning,Good,Moderate,Yes,Moderate,Moderate,Moderate,High,High,Yes,Moderate,0,Yes,No,5,Low,Yes,No,sometimes,High,Experimental,Urban,Moderate,Moderate,High,Moderate,79,PASS
male,20,group D,'bachelor''s degree',married,sometimes,standard,3,Public,none,No,3,Morning,Fabulous,No,Yes,Moderate,No,No,High,High,Yes,High,3,No,High,5,Moderate,No,No,sometimes,Law,Experimental,Urban,Law,Moderate,Moderate,Moderate,65,PASS
male,23,group D,some college,married,never,free/reduced,1,Public,none,High,3,Night,Fabulous,Moderate,No,High,No,Moderate,No,Moderate,Yes,High,3,No,Moderate,6,Low,Yes,Yes,sometimes,High,Standard,Suburban,High,Moderate,Moderate,High,78,PASS
male,21,group C,high school,married,sometimes,standard,3,Public,completed,Moderate,3,Anytime,Fabulous,High,Yes,Moderate,No,No,Moderate,Moderate,Yes,High,3,Yes,Moderate,5,Low,No,No,never,High,Standard,Suburban,Law,High,Moderate,High,89,PASS
female,21,group C,some high school,married,regularly,standard,3,Public,none,High,4,Morning,Fabulous,High,No,No,High,Moderate,High,Moderate,Yes,High,1,No,No,4,Moderate,No,Yes,sometimes,High,Standard,Suburban,Moderate,Law,Law,High,87,PASS
male,23,group B,high school,married,never,free/reduced,5,Public,none,High,2,Night,Fabulous,No,Yes,Moderate,Moderate,Moderate,Moderate,High,Yes,Moderate,1,No,High,4,Moderate,No,No,sometimes,High,Standard,Suburban,High,High,Moderate,Moderate,52,FAIL
female,18,group D,some college,single,regularly,standard,5,Public,completed,No,5,Night,Fabulous,No,Yes,Moderate,No,No,No,Moderate,Yes,High,0,Yes,Moderate,5,Moderate,No,Yes,sometimes,High,Standard,Suburban,Law,Moderate,Moderate,Moderate,78,PASS
male,18,group D,some high school,married,sometimes,free/reduced,3,Public,none,No,4,Morning,Fabulous,Moderate,No,Moderate,Moderate,Moderate,No,Moderate,Yes,High,5,No,Moderate,4,Low,No,No,sometimes,Law,Standard,Suburban,Moderate,Law,Moderate,Moderate,47,FAIL
female,21,group E,'associate''s degree',married,sometimes,free/reduced,4,Public,none,No,3,Morning,Good,Moderate,Yes,No,High,No,Moderate,No,Yes,Moderate,6,Yes,High,7,Low,No,No,sometimes,High,Standard,Suburban,Moderate,Law,High,Moderate,49,FAIL
female,23,group E,'bachelor''s degree',divorced,sometimes,standard,1,Public,none,No,5,Night,Good,High,Yes,Moderate,High,High,Moderate,Moderate,Yes,High,2,Yes,No,6,Moderate,No,No,sometimes,High,Standard,Suburban,High,Law,Moderate,High,71,PASS
female,23,group C,high school,married,never,free/reduced,1,Public,completed,Moderate,4,Morning,Good,Moderate,Yes,Moderate,Moderate,Moderate,High,High,No,High,3,Yes,Moderate,4,Low,No,Yes,never,High,Standard,Suburban,High,High,Law,Law,55,FAIL
female,20,group D,high school,single,regularly,standard,4,Public,none,No,5,Anytime,Bad,High,Yes,No,No,High,Moderate,High,No,Moderate,1,No,Moderate,4,Moderate,Yes,No,never,Law,Standard,Suburban,Moderate,Law,Moderate,Moderate,88,PASS
male,18,group B,high school,single,regularly,standard,3,Public,none,No,5,Anytime,Good,No,No,High,Moderate,High,Moderate,Moderate,Yes,High,2,Yes,No,4,Moderate,No,No,never,Law,Standard,Suburban,High,Moderate,High,High,75,PASS
male,21,group C,high school,single,sometimes,free/reduced,3,Public,completed,Moderate,4,Anytime,Good,High,Yes,Moderate,Moderate,High,No,High,No,Moderate,5,Yes,High,7,Moderate,Yes,No,sometimes,High,Standard,Suburban,High,Moderate,Moderate,Law,55,FAIL
male,22,group C,'associate''s degree',divorced,regularly,standard,4,Public,completed,Moderate,2,Night,Awful,No,Yes,Moderate,High,Moderate,No,High,Yes,Moderate,0,Yes,Moderate,5,Moderate,No,Yes,regulary,Law,Standard,Suburban,Moderate,Moderate,Law,High,68,PASS
female,20,group D,some high school,married,regularly,standard,2,Public,completed,Moderate,2,Anytime,Good,Moderate,No,No,No,Moderate,No,High,No,Moderate,0,Yes,No,7,Low,No,Yes,never,Law,Standard,Suburban,Law,Moderate,High,Moderate,93,PASS
female,24,group D,'associate''s degree',married,sometimes,standard,1,Public,completed,No,2,Anytime,Good,No,No,Moderate,High,No,Moderate,High,Yes,Moderate,2,Yes,Moderate,4,Moderate,Yes,No,never,High,Standard,Suburban,High,Law,Moderate,Law,94,PASS
female,19,group D,'master''s degree',married,regularly,standard,1,Public,none,Moderate,3,Anytime,Bad,Moderate,Yes,High,Moderate,Moderate,No,High,Yes,Moderate,8,No,Moderate,4,Low,No,No,never,Law,Standard,Suburban,Law,Law,Moderate,High,97,PASS
male,22,group E,'bachelor''s degree',single,sometimes,standard,2,Public,none,No,4,Anytime,Good,High,No,High,No,No,No,High,Yes,Moderate,7,Yes,Moderate,4,Moderate,No,Yes,never,High,Standard,Suburban,Moderate,Moderate,High,High,72,PASS
male,24,group C,'associate''s degree',single,regularly,free/reduced,3,Public,none,Moderate,3,Night,Bad,No,No,High,Moderate,No,Moderate,High,No,Moderate,7,Yes,Moderate,7,Low,Yes,Yes,never,High,Standard,Suburban,High,Law,Law,High,51,FAIL
male,19,group D,some college,married,regularly,free/reduced,4,Public,none,No,4,Night,Bad,Moderate,No,High,Moderate,No,No,High,Yes,Moderate,7,No,High,5,Moderate,No,No,never,High,Standard,Suburban,Law,Law,Moderate,High,27,FAIL
female,18,group C,some college,single,sometimes,free/reduced,4,Public,none,No,2,Morning,Fabulous,Moderate,No,Moderate,Moderate,High,High,High,Yes,Moderate,3,Yes,High,6,Moderate,No,Yes,regulary,Law,Standard,Suburban,Moderate,Moderate,Law,Moderate,60,PASS
female,19,group B,'bachelor''s degree',single,sometimes,standard,3,Public,completed,Moderate,5,Anytime,Bad,Moderate,Yes,High,No,No,Moderate,High,Yes,Moderate,2,No,No,7,Low,Yes,No,never,Law,Standard,Suburban,Moderate,Moderate,High,Moderate,97,PASS
female,24,group B,some high school,married,sometimes,free/reduced,5,Public,none,High,2,Night,Fabulous,Moderate,No,No,High,High,Moderate,Moderate,Yes,Moderate,7,Yes,No,4,Moderate,No,Yes,never,High,Standard,Suburban,High,High,Moderate,Law,43,FAIL
female,22,group A,high school,married,sometimes,standard,3,Public,completed,No,3,Morning,Good,High,Yes,Moderate,High,High,High,High,Yes,Moderate,5,Yes,High,4,Moderate,No,Yes,regulary,Law,Standard,Suburban,Moderate,Moderate,Moderate,High,82,PASS
female,18,group D,'master''s degree',single,sometimes,free/reduced,3,Public,none,No,3,Anytime,Bad,High,Yes,No,No,Moderate,Moderate,High,Yes,Moderate,3,Yes,No,5,Moderate,No,No,regulary,High,Standard,Suburban,Moderate,Law,Moderate,High,55,FAIL
female,18,group D,some high school,single,sometimes,free/reduced,2,Public,none,No,3,Morning,Fabulous,High,No,No,Moderate,Moderate,High,High,No,Moderate,1,Yes,High,6,Low,No,No,never,High,Standard,Suburban,Law,High,Moderate,Law,67,PASS
male,22,group C,high school,single,sometimes,free/reduced,3,Public,none,Moderate,5,Anytime,Bad,High,Yes,Moderate,Moderate,Moderate,High,Moderate,Yes,High,0,Yes,No,6,Moderate,No,Yes,never,Law,Standard,Suburban,High,Law,High,Moderate,45,FAIL
male,22,group D,'master''s degree',married,regularly,free/reduced,5,Public,none,No,4,Anytime,Bad,No,Yes,No,Moderate,High,High,High,Yes,High,7,No,High,6,Moderate,Yes,No,regulary,Law,Standard,Suburban,High,Moderate,High,Moderate,52,FAIL
male,19,group E,some college,single,sometimes,free/reduced,4,Public,completed,No,5,Night,Good,No,No,No,No,No,Moderate,Moderate,Yes,High,7,Yes,High,7,Moderate,No,No,never,High,Experimental,Suburban,High,Law,Law,Law,75,PASS
female,22,group D,'associate''s degree',divorced,sometimes,free/reduced,1,Public,completed,Moderate,5,Anytime,Good,High,Yes,No,Moderate,No,Moderate,Moderate,Yes,High,8,Yes,Moderate,4,Moderate,Yes,Yes,never,High,Experimental,Suburban,Law,Moderate,Law,High,55,FAIL
male,20,group E,'bachelor''s degree',married,sometimes,free/reduced,5,Public,none,Moderate,4,Anytime,Good,No,No,Moderate,No,Moderate,No,High,No,High,5,No,High,7,Moderate,No,No,never,Law,Experimental,Suburban,Moderate,Moderate,High,Moderate,67,PASS
male,21,group C,'associate''s degree',divorced,regularly,free/reduced,5,Public,none,No,5,Night,Fabulous,Moderate,Yes,No,High,Moderate,No,High,Yes,High,4,No,No,6,High,No,No,never,Law,Experimental,Suburban,Law,High,Moderate,High,81,PASS
female,21,group D,high school,divorced,never,free/reduced,1,Public,none,No,4,Morning,Good,No,No,High,No,Moderate,High,Moderate,Yes,Moderate,3,No,No,4,Low,No,No,sometimes,High,Experimental,Suburban,High,Law,Moderate,High,74,PASS
female,21,group B,high school,divorced,regularly,standard,4,Public,none,High,4,Anytime,Bad,No,Yes,High,No,No,Moderate,Moderate,Yes,High,2,Yes,High,5,Moderate,Yes,No,never,High,Experimental,Suburban,Law,Law,High,High,70,PASS
female,23,group E,high school,single,sometimes,free/reduced,3,Public,none,No,4,Anytime,Fabulous,No,Yes,No,Moderate,No,Moderate,High,Yes,Moderate,3,No,Moderate,6,Low,Yes,Yes,never,Law,Experimental,Suburban,Law,High,Law,Moderate,67,PASS
male,19,group D,some high school,widowed,regularly,standard,2,Public,none,No,3,Anytime,Bad,Moderate,No,High,Moderate,No,High,Moderate,Yes,High,2,No,No,4,High,Yes,No,sometimes,High,Experimental,Suburban,Law,Law,Moderate,High,76,PASS
male,22,group B,some college,single,sometimes,standard,4,Public,completed,No,3,Anytime,Awful,Moderate,No,Moderate,No,High,High,Moderate,No,Moderate,2,No,High,7,Low,Yes,No,never,High,Experimental,Suburban,High,Law,High,High,71,PASS
male,20,group C,some college,married,sometimes,standard,4,Public,completed,No,5,Night,Good,High,Yes,No,Moderate,No,High,Moderate,Yes,High,1,No,No,6,Moderate,No,No,sometimes,Law,Experimental,Suburban,Law,Moderate,Moderate,Law,79,PASS
female,23,group D,some college,single,regularly,standard,2,Public,completed,No,2,Anytime,Fabulous,High,No,Moderate,Moderate,No,No,Moderate,Yes,High,3,Yes,High,7,Moderate,Yes,Yes,regulary,Law,Experimental,Suburban,High,Moderate,Moderate,Moderate,67,PASS
female,21,group D,high school,single,sometimes,free/reduced,2,Public,completed,Moderate,5,Morning,Fabulous,Moderate,No,Moderate,Moderate,High,No,Moderate,Yes,High,8,No,High,4,Low,No,Yes,regulary,Law,Experimental,Suburban,Moderate,Moderate,Moderate,Moderate,61,PASS
female,23,group C,'bachelor''s degree',married,sometimes,standard,5,Public,none,No,2,Anytime,Awful,No,No,Moderate,Moderate,High,High,Moderate,Yes,High,1,No,No,6,Moderate,Yes,Yes,regulary,High,Experimental,Suburban,Moderate,Moderate,High,High,67,PASS
female,24,group E,some high school,divorced,regularly,free/reduced,2,Public,none,Moderate,2,Morning,Fabulous,No,No,No,Moderate,High,Moderate,High,Yes,Moderate,8,Yes,High,5,Moderate,Yes,Yes,sometimes,High,Experimental,Suburban,Moderate,Moderate,Law,Law,73,PASS
male,24,group B,'master''s degree',single,sometimes,standard,3,Public,none,No,2,Anytime,Fabulous,No,Yes,Moderate,Moderate,No,High,Moderate,Yes,High,4,No,Moderate,6,Low,Yes,Yes,regulary,High,Experimental,Suburban,Law,Moderate,Moderate,Moderate,69,PASS
female,18,group D,some college,married,never,standard,1,Public,none,No,4,Morning,Fabulous,High,Yes,High,No,No,Moderate,Moderate,Yes,Moderate,8,Yes,No,7,Moderate,Yes,Yes,regulary,Law,Experimental,Suburban,Law,Moderate,Law,Moderate,61,PASS
male,20,group C,some high school,single,regularly,standard,4,Public,none,Moderate,5,Morning,Bad,No,Yes,Moderate,High,High,No,High,Yes,Moderate,3,Yes,High,4,Moderate,Yes,Yes,sometimes,Law,Experimental,Suburban,High,Law,Moderate,Law,68,PASS
female,22,group C,some high school,single,never,standard,4,Public,completed,No,5,Anytime,Bad,Moderate,Yes,Moderate,High,High,High,High,Yes,Moderate,3,No,No,7,Low,Yes,Yes,regulary,Law,Experimental,Suburban,High,Moderate,Law,Law,81,PASS
male,18,group D,high school,married,regularly,standard,3,Public,none,High,5,Night,Bad,Moderate,No,Moderate,Moderate,High,No,High,Yes,High,4,Yes,Moderate,4,Low,No,No,regulary,High,Experimental,Suburban,Moderate,Moderate,Law,Law,49,FAIL
male,19,group C,some college,married,sometimes,standard,4,Public,none,No,2,Night,Fabulous,No,No,Moderate,No,Moderate,High,Moderate,Yes,High,5,No,No,7,Moderate,No,No,never,Law,Experimental,Suburban,High,Moderate,High,Law,47,FAIL
female,20,group C,high school,married,regularly,free/reduced,5,Public,none,Moderate,4,Anytime,Good,High,No,Moderate,High,High,No,High,No,Moderate,2,Yes,Moderate,5,Moderate,Yes,Yes,sometimes,Law,Experimental,Suburban,Moderate,Moderate,Moderate,Moderate,61,PASS
female,19,group E,high school,single,sometimes,standard,3,Public,none,Moderate,5,Night,Good,No,No,No,High,No,Moderate,High,Yes,High,0,No,High,6,Low,Yes,No,never,High,Experimental,Suburban,Moderate,Law,Law,Law,98,PASS
female,21,group B,'associate''s degree',single,regularly,free/reduced,5,Public,completed,No,4,Night,Bad,Moderate,No,High,Moderate,No,High,Moderate,Yes,High,7,Yes,No,7,Low,Yes,No,regulary,High,Experimental,Suburban,Moderate,Law,Law,Moderate,88,PASS
female,24,group C,some college,married,regularly,standard,5,Public,none,Moderate,3,Morning,Bad,No,No,No,No,High,High,Moderate,Yes,High,7,Yes,No,5,Moderate,Yes,No,regulary,High,Experimental,Suburban,Law,Moderate,High,Law,67,PASS
male,19,group B,'associate''s degree',married,regularly,standard,3,Public,completed,No,3,Night,Bad,No,Yes,Moderate,No,High,High,High,No,Moderate,2,Yes,High,6,Low,Yes,Yes,regulary,High,Experimental,Suburban,High,Law,Law,Moderate,91,PASS
female,24,group E,some high school,married,regularly,standard,1,Public,completed,No,5,Anytime,Fabulous,Moderate,Yes,High,Moderate,Moderate,No,High,Yes,High,6,Yes,Moderate,4,Moderate,Yes,Yes,sometimes,Law,Experimental,Suburban,Moderate,Moderate,High,High,72,PASS
female,18,group C,some high school,divorced,sometimes,free/reduced,1,Public,none,Moderate,4,Anytime,Good,Moderate,Yes,No,Moderate,Moderate,High,Moderate,No,Moderate,2,No,Moderate,7,Moderate,Yes,Yes,never,Law,Experimental,Suburban,Law,Moderate,Law,Moderate,45,FAIL
